id,Soil_Type,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Temperature_C,Humidity,Rainfall_mm,Sunlight_Hours,Wind_Speed_kmh,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Water_Source,Field_Area_hectare,Mulching_Used,Previous_Irrigation_mm,Region,Irrigation_Need
124681,Sandy,6.86,62.31,0.81,3.0,31.09,88.02,2163.42,10.04,1.41,Sugarcane,Vegetative,Kharif,Drip,River,2.81,No,68.12,East,Medium
309422,Clay,5.67,58.88,1.48,0.9,20.55,29.33,589.12,6.95,18.94,Rice,Flowering,Rabi,Canal,Groundwater,8.78,Yes,47.32,North,Low
286236,Sandy,5.66,26.22,1.56,2.48,19.65,80.94,1133.22,6.39,16.88,Wheat,Harvest,Zaid,Canal,Reservoir,8.9,No,100.47,West,Low
18976,Loamy,5.32,51.61,0.6,0.27,36.97,81.52,1099.29,6.44,3.92,Sugarcane,Harvest,Zaid,Rainfed,Groundwater,1.96,Yes,71.83,West,Low
85604,Loamy,7.2,35.43,1.42,1.7,28.8,37.15,1643.84,4.72,18.73,Sugarcane,Sowing,Rabi,Drip,River,7.32,Yes,83.77,Central,Low
332387,Loamy,7.95,58.59,1.06,2.84,33.23,33.94,2227.71,4.22,3.33,Cotton,Flowering,Rabi,Canal,River,9.27,No,102.95,South,Medium
183384,Sandy,5.63,64.47,0.83,2.49,38.84,54.49,1706.5,10.26,7.82,Rice,Sowing,Rabi,Drip,Rainwater,1.3,No,46.91,West,Low
260464,Loamy,6.63,9.74,1.13,3.25,33.24,61.75,2167.13,6.73,5.55,Potato,Flowering,Rabi,Sprinkler,Groundwater,13.68,Yes,22.08,West,Medium
103234,Sandy,8.13,32.04,0.59,2.62,23.95,75.84,730.98,9.12,3.61,Potato,Harvest,Rabi,Rainfed,Reservoir,2.57,No,4.38,South,Low
501569,Silt,7.14,31.11,0.79,2.66,15.5,46.8,599.27,9.89,17.84,Sugarcane,Sowing,Kharif,Canal,River,4.83,No,61.7,East,Low
428215,Clay,6.35,12.29,1.27,2.85,32.73,63.95,1563.82,7.74,3.36,Sugarcane,Flowering,Rabi,Rainfed,Groundwater,12.3,No,108.76,Central,Medium
579525,Sandy,7.27,32.36,1.48,0.11,14.02,84.31,469.37,9.3,3.05,Rice,Flowering,Zaid,Rainfed,Groundwater,2.26,No,88.74,Central,Low
77717,Clay,4.99,64.82,0.43,1.0,38.5,75.48,2439.18,9.09,5.51,Cotton,Harvest,Kharif,Canal,Rainwater,0.83,Yes,64.71,North,Low
210831,Loamy,6.65,20.61,0.93,3.43,34.21,83.71,884.59,4.11,19.97,Potato,Sowing,Zaid,Sprinkler,Rainwater,5.81,Yes,62.81,East,Medium
218715,Loamy,7.4,26.9,1.56,0.82,34.93,25.95,1332.17,6.65,12.67,Maize,Flowering,Kharif,Drip,River,0.4,Yes,110.62,Central,Medium
540996,Loamy,6.33,42.74,0.5,2.09,38.62,43.1,2166.7,8.03,18.43,Potato,Harvest,Rabi,Sprinkler,Rainwater,7.94,No,38.53,North,Low
125649,Sandy,6.19,52.38,0.38,3.19,12.58,71.22,1255.45,8.64,5.38,Cotton,Flowering,Zaid,Sprinkler,Reservoir,9.68,Yes,53.42,Central,Low
278702,Clay,8.16,27.09,0.64,0.75,37.83,46.57,2138.36,9.95,3.53,Wheat,Harvest,Rabi,Sprinkler,River,10.69,No,3.48,North,Low
513076,Clay,5.45,9.11,0.89,0.53,22.73,79.93,1791.79,10.23,14.43,Wheat,Flowering,Zaid,Canal,Groundwater,12.77,No,113.16,North,Medium
536230,Sandy,5.3,48.29,0.47,1.97,39.97,68.34,2097.2,4.17,6.67,Sugarcane,Harvest,Kharif,Rainfed,Groundwater,12.5,Yes,18.18,East,Low
23219,Clay,5.65,54.49,0.57,2.28,36.1,58.69,2432.36,10.24,19.12,Potato,Vegetative,Zaid,Sprinkler,Groundwater,13.76,Yes,34.99,Central,Medium
93229,Silt,5.18,38.49,1.2,3.45,23.02,58.99,508.68,9.67,2.9,Cotton,Harvest,Zaid,Drip,Rainwater,1.6,No,51.34,South,Low
239875,Clay,7.7,56.37,1.07,2.09,12.67,36.55,2264.52,5.84,1.13,Wheat,Vegetative,Zaid,Rainfed,River,7.27,No,16.74,East,Low
592922,Loamy,7.84,51.9,0.84,3.01,16.35,46.36,1705.6,7.65,15.49,Potato,Vegetative,Rabi,Drip,Reservoir,7.41,No,81.48,South,Medium
76736,Sandy,5.66,23.17,1.28,1.88,40.03,54.8,2462.7,7.73,12.85,Wheat,Sowing,Kharif,Sprinkler,Reservoir,7.34,Yes,24.66,South,Medium
507213,Clay,5.59,11.95,1.33,1.57,22.11,31.26,1762.07,4.43,17.13,Cotton,Sowing,Rabi,Drip,Reservoir,6.71,No,85.15,South,Medium
